Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.01699467438886673,0.023791938136902557,0.0960613170865325,0.00018744445845371883,18,13,17
2,0.040983573246028915,0.03475290222901682,0.0960613170865325,5.2901385276787945e-05,22,7,19
3,0.0498316973880008,0.03875684010229857,0.10402661766930371,2.380949872312688e-05,12,3,13
4,0.0523611146273568,0.03713195087711842,0.10402661766930371,1.356957979045803e-05,12,11,31
5,0.05733027582362751,0.04090205762877509,0.1304484460167822,2.380949872312688e-05,14,3,25
6,0.06231776579471369,0.04459082005315225,0.15278486691933646,2.380949872312688e-05,12,11,35
7,0.06691432176518795,0.05253757566517876,0.15278486691933646,1.356957979045803e-05,11,7,19
8,0.081932983940666,0.061486923031734426,0.1750134064790136,7.149402643472982e-05,14,4,24
9,0.08860376084449906,0.06577868640377953,0.1750134064790136,1.356957979045803e-05,12,6,32
10,0.1018103457926485,0.07118676828453133,0.1861644292134593,4.09297286671355e-05,13,3,23
11,0.09817769091542768,0.07357368746049384,0.1861644292134593,1.356957979045803e-05,14,2,22
12,0.090317824599817,0.0775291491783024,0.1861644292134593,2.5383490428103392e-05,15,2,28
13,0.0888367280164154,0.07934929884598572,0.1861644292134593,4.09297286671355e-05,12,7,21
14,0.09184281663884458,0.08287124986684345,0.1861644292134593,7.827902127537426e-05,9,3,23
15,0.09925022834793343,0.08236963609434854,0.1861644292134593,0.0001675454098696106,13,3,23
16,0.0991015734976024,0.08056702008512003,0.1861644292134593,0.00031796836904549107,14,7,27
17,0.09379247926827945,0.08370207793947984,0.1861644292134593,7.827902127537426e-05,12,1,17
18,0.11114392254955781,0.08195041218094913,0.1861644292134593,7.827902127537426e-05,11,1,25
19,0.09005527532537629,0.08417051454251122,0.1861644292134593,7.827902127537426e-05,11,4,22
20,0.09098087983948208,0.08441236261856776,0.1861644292134593,7.827902127537426e-05,11,4,24
21,0.09352601568513591,0.08392054815485024,0.1861644292134593,7.827902127537426e-05,11,4,28
22,0.09132983423366464,0.08271823680513164,0.1861644292134593,7.827902127537426e-05,11,3,15
23,0.10676088631554329,0.08162345696029716,0.1861644292134593,4.09297286671355e-05,12,6,26
24,0.0916935639142341,0.08191424210552253,0.1861644292134593,2.723947181737696e-06,10,7,39
25,0.09901438769463802,0.08154983801558835,0.1861644292134593,4.09297286671355e-05,9,6,40
26,0.0790522690143249,0.08215837657060027,0.1861644292134593,1.356957979045803e-05,12,12,20
27,0.08536767290629906,0.08087594464607525,0.1861644292134593,0.00031796836904549107,14,4,22
28,0.08785857812693372,0.08099765527680577,0.1861644292134593,2.723947181737696e-06,16,4,22
29,0.10556731463812802,0.08362698509179087,0.1861644292134593,0.0004036737394457455,10,9,29
30,0.08234429637823126,0.08094693280541235,0.1861644292134593,4.09297286671355e-05,13,6,32
31,0.09976657701210677,0.08140805956167946,0.1861644292134593,0.00031796836904549107,11,8,28
32,0.09301602947666301,0.08337896494613045,0.1861644292134593,2.723947181737696e-06,10,9,27
33,0.08051642731916635,0.0805030880284457,0.1861644292134593,4.09297286671355e-05,14,3,27
34,0.08536304179903893,0.0815525398903162,0.1861644292134593,2.723947181737696e-06,13,6,20
35,0.0889650020806593,0.08361557931822988,0.1861644292134593,7.827902127537426e-05,13,7,23
36,0.08628062828275579,0.08361372317461063,0.1861644292134593,7.827902127537426e-05,11,0,30
37,0.08740279964663447,0.0837016659856609,0.1861644292134593,2.723947181737696e-06,11,4,18
38,0.09410325244153149,0.0841659374942111,0.1861644292134593,1.356957979045803e-05,12,6,32
39,0.10055457675876346,0.08087506979540766,0.1861644292134593,7.827902127537426e-05,13,3,19
40,0.10452053850389284,0.08120566391413009,0.1861644292134593,2.723947181737696e-06,11,5,21
41,0.0989294667069057,0.08349862132448325,0.1861644292134593,2.5383490428103392e-05,12,4,28
42,0.10022296710022915,0.08049350778730102,0.1861644292134593,7.827902127537426e-05,8,3,25
43,0.10191440178967476,0.08508161746157901,0.1861644292134593,2.723947181737696e-06,9,0,26
44,0.10157460314028967,0.08415439168231738,0.1861644292134593,7.827902127537426e-05,11,6,28
45,0.09787485617437686,0.08398271457599275,0.1861644292134593,4.09297286671355e-05,14,7,23
46,0.08650477159804326,0.08321386887247792,0.1861644292134593,2.723947181737696e-06,13,6,30
47,0.08983372818650619,0.08201310051489281,0.1861644292134593,2.723947181737696e-06,11,6,24
48,0.09480696524921654,0.08484609703644325,0.1861644292134593,7.827902127537426e-05,14,4,24
49,0.09514361035895989,0.08199386162620637,0.1861644292134593,2.723947181737696e-06,10,0,26
50,0.10378711188065086,0.08462841530380788,0.1861644292134593,2.723947181737696e-06,9,3,29
