Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.01699467438886673,0.023791938136902557,0.0960613170865325,0.00018744445845371883,18,13,39
2,0.02445190757652356,0.02759144351199843,0.0960613170865325,6.232449021384381e-16,24,15,39
3,0.026418587948629505,0.02623144460421676,0.0960613170865325,1.356957979045803e-05,20,19,45
4,0.029573757864407187,0.025691810218430207,0.0960613170865325,0.00020485392158005666,17,12,54
5,0.02706346379616477,0.02791928496352985,0.0960613170865325,1.356957979045803e-05,21,15,47
6,0.028500257384654018,0.027994457485853576,0.107704829007651,3.803410188467457e-05,19,13,57
7,0.02855391744929925,0.027362650919647798,0.107704829007651,7.827902127537426e-05,17,17,43
8,0.03533048089729156,0.03231057731803871,0.11914944604218713,0.00012221647083594456,19,12,52
9,0.038094006778495365,0.03159605951022933,0.11914944604218713,3.143036271245386e-06,13,10,60
10,0.040874569828046076,0.032822840417587366,0.11914944604218713,3.143036271245386e-06,19,11,47
11,0.04058850949513446,0.034281982759357885,0.11914944604218713,6.232449021384381e-16,15,13,47
12,0.03931285274162522,0.0330664506576082,0.11914944604218713,1.113148687615448e-05,17,11,47
13,0.04229980236483563,0.0336046626393047,0.11914944604218713,4.09297286671355e-05,15,9,47
14,0.04217921839448824,0.03454848481941187,0.11914944604218713,1.356957979045803e-05,15,14,50
15,0.040896403610130055,0.03376742139741793,0.11914944604218713,0.0001675454098696106,13,9,39
16,0.04355619743893468,0.033679778345415225,0.11914944604218713,5.2901385276787945e-05,14,10,46
17,0.04568782416658685,0.0348846112065841,0.11914944604218713,2.5383490428103392e-05,13,9,57
18,0.040333965348298736,0.03396775955099972,0.11914944604218713,1.356957979045803e-05,11,8,46
19,0.04162071491169697,0.033597880728871606,0.11914944604218713,4.09297286671355e-05,11,15,47
20,0.047529853195026436,0.03308769092398463,0.11914944604218713,6.232449021384381e-16,9,9,45
21,0.04636920779522319,0.034884305510359655,0.11914944604218713,3.143036271245386e-06,12,14,46
22,0.04707808266042374,0.03509403560246526,0.11914944604218713,1.356957979045803e-05,11,13,43
23,0.051791381746836326,0.039507686001444386,0.11914944604218713,0.0003724164741206029,16,14,44
24,0.0485006187892803,0.03970142136283296,0.201073685423733,0.00031796836904549107,19,11,45
25,0.046925582338008816,0.04019365612905901,0.201073685423733,7.256214972115208e-05,20,14,54
26,0.051409402147675115,0.04202883366879317,0.201073685423733,1.356957979045803e-05,15,10,64
27,0.054283566945252,0.04272899923304415,0.201073685423733,5.514778287443675e-06,17,6,42
28,0.05987997581339976,0.04559851795297966,0.201073685423733,1.356957979045803e-05,20,14,54
29,0.0618623593288104,0.05125625489334497,0.201073685423733,0.0003753493090296997,15,8,60
30,0.0645459987876976,0.050795341335376394,0.201073685423733,3.143036271245386e-06,18,10,46
31,0.06357900793539635,0.04651239550098435,0.201073685423733,3.143036271245386e-06,13,14,54
32,0.05704728604002838,0.05186395280199957,0.201073685423733,1.356957979045803e-05,16,5,45
33,0.06576170818389755,0.0582844659588615,0.201073685423733,2.723947181737696e-06,14,8,58
34,0.053448954874141634,0.05485904281523798,0.201073685423733,0.00048318135702285925,14,9,51
35,0.0600673356100763,0.05880377217639058,0.201073685423733,0.00012221647083594456,17,10,42
36,0.06256880712588775,0.0593533795164637,0.201073685423733,2.723947181737696e-06,18,17,59
37,0.07001477584799494,0.06061016912495,0.201073685423733,7.149402643472982e-05,14,9,49
38,0.07628433688087975,0.06121928767853782,0.201073685423733,0.00017182947129474737,15,1,55
39,0.0820192610025573,0.06611223812669993,0.201073685423733,6.232449021384381e-16,12,4,52
40,0.07051383043924858,0.06240522953596978,0.201073685423733,1.356957979045803e-05,13,11,45
41,0.07092038613631299,0.06575535156890353,0.201073685423733,0.00020485392158005666,13,10,42
42,0.07301038029223961,0.05752596351171759,0.201073685423733,0.00018744445845371883,13,8,50
43,0.07338977687169491,0.054908418958681426,0.201073685423733,1.356957979045803e-05,12,8,56
44,0.07129798637171735,0.054166889880063865,0.201073685423733,0.00031796836904549107,17,13,47
45,0.05940423633999603,0.04998775295069016,0.201073685423733,3.143036271245386e-06,15,8,52
46,0.06617624637249275,0.0510902627442166,0.201073685423733,0.0,13,9,53
47,0.06639689023174497,0.050705035667768995,0.201073685423733,3.2536703896502556e-05,12,9,57
48,0.06612684532438118,0.04853077612447654,0.201073685423733,0.00026402357749471877,11,12,54
49,0.06638763052974485,0.05279415793042862,0.201073685423733,1.113148687615448e-05,11,7,45
50,0.06764696916678843,0.049816456572342065,0.201073685423733,0.0,16,11,51
