Iteração,Fitness Média,Fitness STD,Melhor Fitness,Pior Fitness,Qtd Repetidos,Indv melhores que os pais,Indv piores que os pais
1,0.07836776112790259,0.02380546741551666,0.20828620903831022,0.03759657301409115,6,9,15
2,0.08848572287393568,0.023743136160196292,0.20828620903831022,0.03286115354111249,16,11,23
3,0.09321491344207723,0.028033169879032177,0.20828620903831022,0.04438659913170136,15,4,20
4,0.09879792638571532,0.03800374205450877,0.20828620903831022,0.038525349861055665,15,7,27
5,0.10473420537562518,0.043986645322654554,0.22517914048301393,0.0446410986805269,16,10,20
6,0.1139919153329169,0.05006049957686036,0.23836876404027854,0.046322049364342026,18,7,19
7,0.12349475643780786,0.0554425802903322,0.23836876404027854,0.03565670234575075,20,7,27
8,0.13000760489550298,0.05876478504542995,0.2668754880926562,0.03565670234575075,12,2,26
9,0.13652580941844292,0.06552132887903404,0.2668754880926562,0.039339606814967815,15,7,29
10,0.14168023025918,0.06213425419270364,0.26821159373421755,0.047051271937867935,8,3,35
11,0.1443167537365027,0.06375572968013288,0.26821159373421755,0.027190211973228223,12,6,28
12,0.15105470981577315,0.06635431398968204,0.26821159373421755,0.0451704727500742,12,5,27
13,0.16436235523008874,0.0677284843978135,0.28591649395101437,0.0469033180952403,17,6,30
14,0.17569761505593465,0.06969067617178971,0.28591649395101437,0.05905375796539691,15,5,33
15,0.1832127800148355,0.07130351118487403,0.28876896126774826,0.03687521936813173,15,6,20
16,0.1795411063036743,0.07790939599426276,0.2900188812865212,0.04266994291710485,11,6,24
17,0.1785794393940323,0.08354794143616152,0.2921385529682933,0.03613402784063958,12,3,19
18,0.19651427048029035,0.07897397629533329,0.2921385529682933,0.04968454151359253,13,4,30
19,0.20056256873057407,0.08277546100767978,0.2921385529682933,0.049268927870524414,13,6,26
20,0.18620510936689133,0.08564127696051052,0.2921385529682933,0.038245038445624095,14,7,33
21,0.19811025586291223,0.0859650294532586,0.3116155388973028,0.04816521414473223,15,6,18
22,0.20637028920223804,0.08757913857239231,0.3116155388973028,0.032424512648217496,15,2,20
23,0.2037073054067279,0.09168789744886054,0.3125540718551737,0.036198970164803876,12,5,23
24,0.21790893626253446,0.08754024073119011,0.3125540718551737,0.032424512648217496,12,3,31
25,0.20943251379441857,0.09698643637896635,0.3125540718551737,0.032424512648217496,12,4,32
26,0.2233067610386057,0.0873075916906982,0.3125540718551737,0.05072014097697037,13,2,18
27,0.20840871475166634,0.10035094545370184,0.330760839363369,0.035653977821555424,12,4,30
28,0.21881654716083715,0.0973387567483659,0.330760839363369,0.0516236048020997,12,2,28
29,0.2398681565656618,0.09292865555619033,0.330760839363369,0.039614916610860355,12,3,25
30,0.23190344842183733,0.10246072438314191,0.330760839363369,0.037247076972969764,12,3,25
31,0.21482778076663153,0.10889883559601332,0.330760839363369,0.04473364729829101,15,1,27
32,0.23902005039361818,0.09878016829139814,0.330760839363369,0.03402251609040957,10,2,18
33,0.25308270858945314,0.08990611961885131,0.330760839363369,0.030584524962011594,10,5,29
34,0.2392168022530913,0.10443032282310095,0.330760839363369,0.05636367936783926,6,3,25
35,0.24623906989038835,0.09254617125725915,0.330760839363369,0.05096451692922973,7,1,35
36,0.24158321444494113,0.10183475404416979,0.3441249419328205,0.022413780811713795,4,3,25
37,0.23146208809438412,0.10750594235146625,0.3441249419328205,0.04089280624195777,10,3,27
38,0.22519533183993404,0.09577163916640011,0.3441249419328205,0.060297206689089486,11,3,29
39,0.21991207851076822,0.09687495341095087,0.3441249419328205,0.04174135711392273,11,3,29
40,0.2236622180733844,0.09700618964069842,0.3441249419328205,0.022413780811713795,12,3,27
41,0.23612927110098128,0.09515042306219153,0.3441249419328205,0.01871725281543861,14,3,21
42,0.23280599658190382,0.10369602991645524,0.3441249419328205,0.049765960586937184,15,2,18
43,0.24975462020748673,0.0933853383882201,0.3441249419328205,0.05027508152428698,10,6,26
44,0.24377648774073024,0.10042602263180866,0.3441249419328205,0.05568177621901246,6,3,27
45,0.23827500853094932,0.10341230462181322,0.3441249419328205,0.034147205128119466,10,2,14
46,0.24437261395276472,0.10317819122761851,0.3441249419328205,0.0462592270031815,12,6,24
47,0.25931268577615413,0.09088488791122584,0.3441249419328205,0.048620027896494035,12,2,12
48,0.25319806685663143,0.09699837497404405,0.3441249419328205,0.0374349024413123,11,3,19
49,0.23823638775894396,0.10715806438331824,0.3441249419328205,0.047994407047785244,11,2,26
50,0.25403719511027545,0.10175754813580731,0.3441249419328205,0.0417691947900732,12,2,28
